cash_flow_category,account_description,account_number
Operating,Assets: Accounts Receivable,110010; 110015; 110016; 110017; 110018; 120011; 120012; 120013; 120020
Operating,Assets: Other Current Assets,120050; 124000; 124100; 124200; 124300; 124400; 128600; 130500; 130600; 130700; 140000; 140010; 140020; 140025; 140200; 140026; 140027; 140028; 140029; 140031; 140126; 140224; 160050; 160000; 160010
Operating,Assets: Prepaid Taxes,140300
Operating,Liabilities: Accounts Payable,200010; 200020; 200030; 200031; 200032; 210027
Operating,Liabilities: Accrued Expenses,220010; 220011; 220012; 220013; 220014; 220015; 220016; 220017; 220018; 220019; 220020; 220021; 220022; 220025; 220050; 230010; 230011; 230012; 230015; 230016; 230018; 230019; 230020; 232000; 232001; 232002; 232004; 232006; 232007;232008; 232009; 232010; 232050; 236000; 240010; 240091; 240092; 240093
Operating,Liabilities: Other Current Liabilities,235000; 240085; 250033
Operating,Liabilities: Deferred Revenue,240015; 240020; 240021; 240022; 240023; 240024; 240025; 240026; 240027; 240028; 240040; 240045
Operating,"Interest Expense, Net",900013
Operating,Current Income Tax Expense,930000
Operating,Other Taxes,900050; 900100; 900200; 900210; 900213; 900218; 900102
Operating,Option Compensation,890010; 890015; 890016; 890020; 890023; 890024; 890027; 890030; 890033; 890034; 890035; 890036; 890037; 890038; 890039; 890040; 890126; 890306; 890136
Operating,Other Non Operating Expense,600999
Operating,Loan Administration Fees,900012
Investing,Capitalised Software,600009;600010;600011;600012;600013;600014;600020;600100;600105;600110;600113;600114;600210;600211;600212;600213;600214;600215;600216;600220;600221;600230;600310;600311;600312;600313;600314;600315;600999;690095;690099;700010;700100;700101;720000;720005;720010;720011;720012;720016;720017;720020;720200;740010;740011;740014;740015;740016;740017;750010;750011;750100;750112;750113;750116;760010;800010;800012;800013;800015;800100;800110;800111;800112;800113;800117;800118;800119;800121;800123;800124;800200;800210;800211;800212;800213;800214;800215;800216;800220;800290;800300;800310;800312;800313;800314;800410;800411;800412;800413;800414;800415;800416;800417;800419;800420;800421;800422;800490;800510;800511;800512;800513;800514;801520;801521;801522;801524;801525;801526;801530;801531;801532;801533;801540;801541;801542;801543;801544;807000;808000;808100;808200;860000;860100
Investing,Fixed Assets,150010; 150020; 150025; 150026; 150030; 150035; 150036; 150037; 150110; 150120; 150125; 150126; 150130; 150135; 150136
Financing,Long Term Debt,250034; 250035; 250039
Financing,Equity,300010; 300012; 310010; 3200; 320010; 320050; 320055; 330001; 320056; 320057
Financing,Other Long Term Liability,240070; 240080; 240082; 240083; 240084; 240999; 240081; 250010; 250016; 250017; 250018; 250028
Cash Balance (Derived),Assets: Cash,100000;100014;100015;100018;100020;100022;100023;100024;100025;100130;100131;100132;100134;100137;100140;100141;100143;100150;100151;100160;100161;100155;100162
